,Sentence,Sentence Encodings
0,"He continued, “Now, here we are – not 75 years later, but just seven and a half months later – and people are already forgetting. They’re already forgetting that Hamas unleashed this terror. … I have not forgotten, nor have you, and we will not forget.”","{'He': '0', 'They': '0', 'this terror': '1', 'are already forgetting': '1', 'continued': '0', 'you': '0', 'I': '0', 'Hamas': '1', 'half months': '0', 'already forgetting': '1', 'people': '0', 'have': '0', 'unleashed': '1', '’re already forgetting': '1', 'have not forgotten': '0', 'we': '0', 'will not forget': '0', 'continued,': '0', '“Now,': '0', '–': '0', '75': '0', 'years': '0', 'later,': '0', 'seven': '0', 'half': '0', 'months': '0', 'later': '0', 'already': '1', 'forgetting.': '1', 'They’re': '0', 'forgetting': '1', 'terror.': '1', '…': '0', 'forgotten,': '0', 'you,': '0', 'forget.”': '0'}"
1,"All of Ms Harris’s leading potential rivals for the nomination have endorsed her, as has former Speaker of the House Nancy Pelosi – who remains one of the most influential players in Democratic politics.","{'Ms Harris’s leading potential rivals': '0', 'potential rivals': '0', 'the most influential players': '1', 'leading': '0', 'remains': '0', 'Democratic politics': '0', 'influential players': '1', 'All': '0', 'has': '0', 'who': '0', 'her': '0', 'the nomination': '0', 'have endorsed': '1', 'the House': '0', 'Ms': '0', 'Harris’s': '0', 'potential': '0', 'rivals': '0', 'nomination': '0', 'endorsed': '1', 'her,': '0', 'former': '0', 'Speaker': '0', 'House': '0', 'Nancy': '0', 'Pelosi': '0', '–': '0', 'one': '0', 'influential': '1', 'players': '0', 'Democratic': '0', 'politics.': '0'}"
2,"Based on our criteria mentioned above and methodology outlined below, these are the best cities for healthy living in the U.S.","{'our criteria': '0', 'Based': '0', 'these': '0', 'the U.S.': '0', 'methodology': '0', 'below outlined': '0', 'best cities': '1', 'healthy living': '1', 'above mentioned': '0', 'the best cities': '1', 'criteria': '0', 'mentioned': '0', 'outlined': '0', 'below,': '0', 'best': '1', 'cities': '0', 'healthy': '1', 'living': '0', 'U.S.': '0'}"
3,"His tariff plan has spurred talk of inflation, and US treasury secretary Janet Yellen has said it would raise costs for American consumers.","{'tariff plan': '0', 'treasury secretary': '0', 'inflation': '1', 'it': '0', 'costs': '1', 'US treasury secretary Janet Yellen': '0', 'has said': '0', 'has spurred': '1', 'His tariff plan': '0', 'talk': '0', 'American consumers': '0', 'would raise': '1', 'tariff': '0', 'plan': '0', 'spurred': '1', 'inflation,': '1', 'US': '0', 'treasury': '0', 'secretary': '0', 'Janet': '0', 'Yellen': '0', 'said': '0', 'would': '0', 'raise': '1', 'American': '0', 'consumers.': '0'}"
4,"Chrome beats all comers in web browser drag race, never mind the memory footprint and privacy problems","{'memory footprint': '0', 'the memory footprint and privacy problems': '0', 'all comers': '1', 'privacy problems': '0', 'never mind': '0', 'Chrome': '0', 'drag race': '0', 'web browser drag race': '0', 'beats': '1', 'comers': '0', 'web': '0', 'browser': '0', 'drag': '0', 'race,': '0', 'never': '0', 'mind': '0', 'memory': '0', 'footprint': '0', 'privacy': '0', 'problems': '0'}"
5,"”The presidency is about more than race. It’s about who is the best person to lead our country,” the McDonough resident said. “I don’t think she is up for that task.”","{'the best person': '0', 'the McDonough resident': '0', 'that task': '0', 'our country': '0', 'do n’t think': '1', 'I': '0', 'she': '0', 'It': '0', '’s': '0', 'who': '0', 'best person': '0', 'race': '0', 'said': '0', 'to lead': '0', 'The presidency': '0', '”The': '0', 'presidency': '0', 'race.': '0', 'It’s': '0', 'best': '0', 'person': '0', 'lead': '0', 'country,”': '0', 'McDonough': '0', 'resident': '0', 'said.': '0', '“I': '0', 'don’t': '1', 'think': '0', 'task.”': '0'}"
6,"Putin has continuously been in power since 1999, either as Russia's president or prime minister, making him the country's longest-serving leader since Josef Stalin.","{'Putin': '0', 'Josef Stalin': '0', 'longest serving': '1', ""Russia's president"": '0', 'him': '0', 'making': '0', 'power': '0', 'prime minister': '0', 'continuously': '1', 'since': '0', '1999,': '0', 'either': '0', ""Russia's"": '0', 'president': '0', 'prime': '0', 'minister,': '0', ""country's"": '0', 'longest-serving': '1', 'leader': '0', 'Josef': '0', 'Stalin.': '0'}"
7,"“We’re at risk of people not knowing the truth,"" Biden said of the horrors of the Holocaust, when 6 million Jews were systematically killed by Nazi Germany and its collaborators. “This hatred continues to lie deep in the hearts of too many people in the world.”","{'Nazi Germany': '1', '’re': '0', 'not knowing': '1', 'said': '0', 'the hearts': '0', 'risk': '1', 'when systematically killed': '1', 'the horrors': '1', 'continues': '0', 'people': '0', 'many people': '0', 'Biden': '0', 'too many people': '1', 'the truth': '0', '6 million Jews': '0', 'the world': '0', 'to lie': '1', 'This hatred': '1', 'its collaborators': '0', 'systematically killed': '1', 'We': '0', 'the Holocaust': '1', '“We’re': '0', 'knowing': '0', 'truth,""': '0', 'horrors': '1', 'Holocaust,': '1', '6': '0', 'million': '0', 'Jews': '0', 'systematically': '1', 'killed': '1', 'Nazi': '1', 'Germany': '0', 'collaborators.': '0', '“This': '0', 'hatred': '1', 'lie': '1', 'deep': '1', 'hearts': '0', 'many': '0', 'world.”': '0'}"
8,"Microsoft's AI for Good Lab is an applied research and data visualization lab that harnesses the power of big data, and Microsoft's cloud technology.","{'an applied research and data visualization lab': '0', 'big data': '0', 'data visualization': '0', 'applied': '0', ""Microsoft's cloud technology"": '0', 'harnesses': '1', 'cloud technology': '0', ""Microsoft's AI"": '0', 'that': '0', 'visualization lab': '0', 'the power': '0', 'Good Lab': '1', ""Microsoft's"": '0', 'AI': '0', 'Good': '1', 'Lab': '0', 'research': '0', 'data': '0', 'visualization': '0', 'lab': '0', 'power': '0', 'big': '0', 'data,': '0', 'cloud': '0', 'technology.': '0'}"
9,Friday’s tech outage hit Delta especially hard.,"{'Delta': '0', 'hard hit': '1', 'tech outage': '1', 'Friday’s tech outage': '1', 'Friday’s': '0', 'tech': '0', 'outage': '1', 'hit': '1', 'especially': '1', 'hard.': '1'}"
