,Sentence,Sentence Encodings
0,"“I’m here in New Hampshire to talk about the budget I released today that would, I think, help in a big way,"" Biden said.","{'New Hampshire': '0', 'here ’m': '0', 'to talk': '0', 'Biden': '0', 'would help': '1', 'said': '0', 'I': '0', 'think': '0', 'the budget': '0', 'big way': '1', 'a big way': '1', 'released': '0', '“I’m': '0', 'New': '0', 'Hampshire': '0', 'talk': '0', 'budget': '0', 'today': '0', 'would,': '0', 'think,': '0', 'help': '1', 'big': '1', 'way,""': '0', 'said.': '0'}"
1,"In the mid-20th century, Democratic delegates consisted in no small part of the leaders of trade unions and urban machines — individuals who were directly accountable to mass constituencies. This made it possible for them to credibly speak on behalf of key Democratic voting blocs.","{'credibly speak': '1', 'them': '0', 'to credibly speak': '1', 'it': '0', 'the leaders': '0', 'the mid-20th century': '0', 'who': '0', 'Democratic delegates': '0', 'This': '0', 'no small part': '1', 'mass constituencies': '1', 'individuals': '0', 'small part': '0', 'Democratic voting': '0', 'consisted': '0', 'behalf': '0', 'made': '0', 'trade unions': '0', 'urban machines': '0', 'mid-20th': '0', 'century,': '0', 'Democratic': '0', 'delegates': '0', 'small': '0', 'part': '0', 'leaders': '0', 'trade': '0', 'unions': '0', 'urban': '0', 'machines': '0', '—': '0', 'directly': '0', 'accountable': '1', 'mass': '0', 'constituencies.': '0', 'possible': '1', 'credibly': '1', 'speak': '0', 'key': '0', 'voting': '0', 'blocs.': '0'}"
2,"“I think it was the right decision. I support him, and I support the vice president now, and I’m excited,” she continued.","{'it': '0', 'the right decision': '1', '’m': '0', 'him': '0', 'she': '0', 'the vice president': '0', 'continued': '0', 'vice president': '0', 'I': '0', 'think': '0', 'now support': '1', 'right decision': '1', 'support': '1', '“I': '0', 'right': '1', 'decision.': '0', 'him,': '0', 'vice': '0', 'president': '0', 'now,': '0', 'I’m': '0', 'excited,”': '1', 'continued.': '0'}"
3,Here are some of the progressive leaders who have also expressed their support:,"{'have also expressed': '1', 'their support': '1', 'who': '0', 'some': '0', 'the progressive leaders': '0', 'also expressed': '1', 'progressive leaders': '0', 'progressive': '0', 'leaders': '0', 'also': '0', 'expressed': '0', 'support:': '1'}"
4,Biden has struggled to balance his support for Israel after the Oct. 7 Hamas attack — the deadliest day for Jews worldwide since the Holocaust — with his efforts to constrain its war on the militant group in Gaza.,"{'its war': '0', 'the Holocaust': '1', 'Israel': '0', 'the deadliest day': '1', 'Biden': '0', 'deadliest day': '1', 'his efforts': '0', 'Gaza': '0', 'the militant group': '0', 'to balance': '0', 'has struggled': '1', 'militant group': '0', 'to constrain': '0', 'Jews': '0', 'the Oct. 7 Hamas attack': '1', 'his support': '0', 'struggled': '1', 'balance': '0', 'support': '0', 'Oct.': '0', '7': '0', 'Hamas': '1', 'attack': '1', '—': '0', 'deadliest': '1', 'day': '0', 'worldwide': '0', 'since': '0', 'Holocaust': '1', 'efforts': '0', 'constrain': '0', 'war': '0', 'militant': '0', 'group': '0', 'Gaza.': '0'}"
5,"NASA explores the unknown in air and space, innovates for the benefit of humanity, and inspires the world through discovery.","{'innovates': '1', 'discovery': '1', 'air': '0', 'the benefit': '1', 'explores': '1', 'NASA': '0', 'the world': '0', 'space': '0', 'inspires': '1', 'humanity': '1', 'unknown': '0', 'space,': '0', 'benefit': '1', 'humanity,': '1', 'world': '0', 'discovery.': '0'}"
6,"“There is a lot you can do in terms of entitlements, in terms of cutting and in terms of also — the theft and the bad management of entitlements,” he said. “Tremendous bad management of entitlements.”","{'a lot': '0', 'can do': '0', 'bad management': '1', 'terms': '0', 'entitlements': '0', 'is': '0', 'he': '0', 'said': '0', '“Tremendous bad management': '1', 'cutting': '0', 'you': '0', '“There': '0', 'lot': '1', 'entitlements,': '0', 'also': '0', '—': '0', 'theft': '1', 'bad': '1', 'management': '1', 'entitlements,”': '0', 'said.': '0', '“Tremendous': '1', 'entitlements.”': '0'}"
7,Discover time-saving technologies and actionable tactics that can help you overcome crucial marketing challenges.,"{'actionable tactics': '1', 'overcome': '1', 'saving': '1', 'crucial marketing': '1', 'marketing challenges': '0', 'that': '0', 'crucial marketing challenges': '0', 'can help': '1', 'Discover time-saving technologies': '1', 'Discover time': '0', 'you': '0', 'Discover': '1', 'time-saving': '1', 'technologies': '0', 'actionable': '1', 'tactics': '0', 'help': '1', 'crucial': '0', 'marketing': '0', 'challenges.': '0'}"
8,"Speaking to reporters in Washington, D.C., Monday, House Minority Leader Hakeem Jeffries praised both President Biden and Vice President Kamala Harris but for now stopped short of endorsing her for president.","{'short stopped': '0', 'D.C.': '0', 'Washington': '0', 'Vice President Kamala Harris': '0', 'both President Biden': '0', 'Speaking': '0', 'House Minority Leader Hakeem Jeffries': '0', 'endorsing': '0', 'reporters': '0', 'now stopped': '0', 'her': '0', 'praised': '1', 'president': '0', 'Washington,': '0', 'D.C.,': '0', 'Monday,': '0', 'House': '0', 'Minority': '0', 'Leader': '0', 'Hakeem': '0', 'Jeffries': '0', 'President': '0', 'Biden': '0', 'Vice': '0', 'Kamala': '0', 'Harris': '0', 'stopped': '0', 'short': '0', 'president.': '0'}"
9,"The death toll is mounting in the southern Ukrainian of Odesa after a Russian missile attack struck a residential area in the early hours of Friday morning, according to regional officials.","{'The death toll': '1', 'the southern Ukrainian': '0', 'struck': '1', 'is mounting': '1', 'death toll': '1', 'Russian missile': '1', 'missile attack': '1', 'Odesa': '0', 'a Russian missile attack': '1', 'a residential area': '1', 'according': '0', 'early hours': '0', 'regional officials': '0', 'Friday morning': '0', 'the early hours': '0', 'residential area': '0', 'death': '1', 'toll': '0', 'mounting': '1', 'southern': '0', 'Ukrainian': '0', 'Russian': '0', 'missile': '1', 'attack': '1', 'residential': '1', 'area': '0', 'early': '0', 'hours': '0', 'Friday': '0', 'morning,': '0', 'regional': '0', 'officials.': '0'}"
10,"“We did a lot of work together on a lot of different cases,” Brian Frosh, a Democrat who was Maryland’s attorney general at the time, said of Shapiro. “He’s very smart, very capable. He’s hard-working. He’s willing to take risks.”","{'a lot': '1', 'We': '0', 'He': '0', 'who': '0', 'hard working': '1', 'the time': '0', 'a Democrat': '0', 'risks': '0', 'Shapiro': '0', 'work': '0', 'said': '0', 'Brian Frosh': '0', 'together did': '0', 'Maryland’s attorney general': '0', 'to take': '0', 'attorney general': '0', '’s': '0', 'different cases': '0', '“We': '0', 'lot': '0', 'together': '0', 'different': '0', 'cases,”': '0', 'Brian': '0', 'Frosh,': '0', 'Democrat': '0', 'Maryland’s': '0', 'attorney': '0', 'general': '0', 'time,': '0', 'Shapiro.': '0', '“He’s': '0', 'smart,': '1', 'capable.': '1', 'He’s': '0', 'hard-working.': '1', 'willing': '1', 'take': '0', 'risks.”': '0'}"
11,Dig deeper. Is ChatGPT the Google Search killer we’ve been expecting?,"{'’ve been expecting': '0', 'the Google Search killer': '1', 'we': '0', 'deeper Dig': '0', 'ChatGPT': '0', 'Dig': '0', 'deeper.': '0', 'Google': '0', 'Search': '0', 'killer': '1', 'we’ve': '0', 'expecting?': '0'}"
12,"Bastian said the company is working around the clock to get its operation back on track, but it will take another couple of days before the worst is over.","{'it': '0', 'the company': '0', 'days': '0', 'will take': '0', 'said': '0', 'another couple': '1', 'its operation': '0', 'Bastian': '0', 'to back get': '0', 'the clock': '0', 'is working': '0', 'track': '0', 'company': '0', 'working': '0', 'around': '0', 'clock': '0', 'get': '0', 'operation': '0', 'back': '0', 'track,': '0', 'take': '0', 'another': '0', 'couple': '0', 'worst': '1', 'over.': '0'}"
13,"The freely available AI chatbots have struggled with article summarization. Most did a decent job of getting the overarching points, but failed to capture the main thesis or crux of the piece. ","{'crux': '0', 'to capture': '0', 'the main thesis': '0', 'overarching points': '0', 'main thesis': '0', 'decent job': '0', 'getting': '0', 'a decent job': '0', 'the overarching points': '0', 'did': '0', 'The freely available AI chatbots': '0', 'the piece': '0', 'failed': '1', 'article summarization': '0', 'have struggled': '1', 'freely': '0', 'available': '0', 'AI': '0', 'chatbots': '0', 'struggled': '1', 'article': '0', 'summarization.': '0', 'decent': '0', 'job': '0', 'overarching': '0', 'points,': '0', 'capture': '0', 'main': '0', 'thesis': '0', 'piece.': '0', '': '0'}"
14,"“Candidates should not be shy about aggressively tying their opponents to Kamala Harris’ extreme agenda,” Jason Thielman, executive director of the NRSC, wrote in the memo. “Kamala Harris is not a good candidate.”","{'their opponents': '0', 'Kamala Harris': '0', 'Kamala Harris’ extreme agenda': '1', 'Candidates': '0', 'the NRSC': '0', 'executive director': '0', 'aggressively tying': '1', 'a good candidate': '0', 'good candidate': '1', 'the memo': '0', 'extreme agenda': '1', 'Jason Thielman': '0', 'wrote': '0', '“Candidates': '0', 'shy': '1', 'aggressively': '1', 'tying': '0', 'opponents': '0', 'Kamala': '0', 'Harris’': '0', 'extreme': '1', 'agenda,”': '1', 'Jason': '0', 'Thielman,': '0', 'executive': '0', 'director': '0', 'NRSC,': '0', 'memo.': '0', '“Kamala': '0', 'Harris': '0', 'good': '1', 'candidate.”': '0'}"
15,"Coming just 24 hours before Google I/O, the launch puts Google's Gemini in a new perspective. If GPT-4o is as impressive as it looked, Google and its anticipated Gemini update better be mind-blowing. ","{'its anticipated Gemini update': '1', 'it': '0', 'puts': '0', 'anticipated': '1', 'a new perspective': '1', 'the launch': '0', 'new perspective': '1', 'looked': '1', ""Google's Gemini"": '0', 'Google': '0', 'O Coming': '0', 'Coming': '0', '24': '0', 'hours': '0', 'I/O,': '0', 'launch': '0', ""Google's"": '0', 'Gemini': '0', 'new': '1', 'perspective.': '0', 'GPT-4o': '0', 'impressive': '1', 'looked,': '0', 'update': '0', 'better': '0', 'mind-blowing.': '0', '': '0'}"
16,"In answer to the first question, the details are very hazy, as in, nonexistent.","{'first question': '0', 'answer': '0', 'the details': '0', 'the first question': '0', 'first': '0', 'question,': '0', 'details': '0', 'hazy,': '1', 'in,': '0', 'nonexistent.': '1'}"
17,"In December 2023, a few months after Israel launched its war on Gaza, Shapiro reiterated his support for Israel's military’s actions, which has so far killed at least 39,000 people.","{'few months': '0', 'its war': '0', 'Israel': '0', 'Shapiro': '0', 'Gaza': '0', ""Israel's military’s actions"": '1', 'at least 39,000 people': '1', 'launched': '1', 'reiterated': '0', 'December': '0', 'has far killed': '1', 'far killed': '1', 'which': '0', 'his support': '0', '2023,': '0', 'months': '0', 'war': '0', 'Gaza,': '0', 'support': '0', ""Israel's"": '0', 'military’s': '0', 'actions,': '0', 'far': '0', 'killed': '1', 'least': '1', '39,000': '1', 'people.': '0'}"
18,"Putin’s reelection would extend his rule until at least 2030. Following constitutional changes in 2020, he would then be able to run again and potentially stay in power until 2036, which would see him secure his place as Russia’s longest-serving ruler since Soviet dictator Joseph Stalin.","{'would extend': '1', 'Following': '0', 'constitutional changes': '0', 'his rule': '0', 'secure': '1', 'him': '0', 'power': '1', 'Soviet dictator Joseph Stalin': '0', 'he': '0', 'potentially stay': '0', 'his place': '0', 'longest serving': '1', 'Russia’s longest-serving ruler': '1', 'Soviet dictator': '0', 'to again run': '1', 'Putin’s reelection': '0', 'would see': '0', 'which': '0', 'Putin’s': '0', 'reelection': '1', 'would': '0', 'extend': '1', 'rule': '0', 'least': '1', '2030.': '0', 'constitutional': '0', 'changes': '0', '2020,': '0', 'able': '0', 'run': '0', 'potentially': '0', 'stay': '0', '2036,': '0', 'see': '0', 'place': '0', 'Russia’s': '0', 'longest-serving': '1', 'ruler': '0', 'since': '0', 'Soviet': '0', 'dictator': '0', 'Joseph': '0', 'Stalin.': '0'}"
19,"When asked why Putin is holding an election at all, Braun said it’s because Putin “understands that he has a legitimacy crisis on his hands,” and that the Kremlin’s invasion of Ukraine was also part of shoring up support.","{'part': '0', 'Putin': '0', 'Braun': '0', 'it': '0', 'why is all holding': '0', 'legitimacy crisis': '1', 'a legitimacy crisis': '1', 'When asked': '0', 'support': '0', 'the Kremlin’s invasion': '1', 'he': '0', 'an election': '0', 'his hands': '0', 'Ukraine': '0', 'has': '0', 'said': '0', 'understands': '0', 'shoring': '0', '’s': '0', 'asked': '0', 'holding': '0', 'election': '0', 'all,': '0', 'it’s': '0', '“understands': '0', 'legitimacy': '0', 'crisis': '1', 'hands,”': '0', 'Kremlin’s': '0', 'invasion': '1', 'also': '0', 'support.': '0'}"
